body,entities,predicted_entities,compound_score
$TSLA $GME $AMC $BB $BBBY we are back,Bullish,Bullish,0.0
"$GNUS $GME $KOSS $AMC $TSLA 
Letâ€™s shows these fuckers weâ€™ll win the battle and not get intimidated by a 20% loss when weâ€™ve been making 100-1000% gains all month!! ðŸš€ðŸ™ðŸ»ðŸ”¥ (Lol this is some stocks Game of thrones type of month)",Bullish,Bullish,0.4922
$AMC anyone who is selling right now is a fckin idiot. I hope you realize that tomorrow when you get fcked. Your gonna regret it. I&#39;m loading up and takin your shares. Good luck to all the bulls. We&#39;re gonna make this pop tomorrow and Friday! $TSLA $SPY $AMZN $MSFT,Bullish,Bullish,0.636
$SNDL share Sabby i believe is trying to ruin us. $TSLA $GME $AMC $NAKD STOP SELLING SNDL SHARES TO THIS DUDE. SHARE,Bullish,Bullish,0.0857
$TSLA I just listened to the entire earnings call. Once media dissects the information I believe we will see the stock pop right back up and continue fulls team ahead.  just the beginning for Tesla.,Bullish,Bullish,0.0
"$TSLA I could always be wrong, but I have strange feeling Tesla is going to drop like a lead balloon!",Bearish,Bearish,-0.2942
$SPY If $AAPL and $TSLA are down tomorrow good luck going higher,Bearish,Bullish,0.7096
Time to short $TSLA ,Bearish,Bullish,0.0
$TSLA  @bulls please tell me why the prices can go up in Q2? Q4 record deliveries but lost profit + remaining profit is also from Credit sale. Only bullish news I can think of is another stimulus. Please tell me if you think I m wrong,Bearish,Bullish,0.8225
$TSLA I think WSB exposed how fake the valuation of this could really be.,Bearish,Bearish,-0.5267
,,Bullish,0.0
$AAPL $TSLA $SPY $QQQ $AMC  NEED A GREAT LEADER!!! #2024ðŸ¾ðŸ¥‚ðŸš€ðŸš€ðŸš€ðŸ’°ðŸ’°,Bullish,Bullish,0.7723
"$ABML expect interesting news over the next week... $TSLA exec on the board and engineer 
Looking forward and beyond personally.",Bullish,Bullish,0.4019
$UWMC we ready!! Loaded heavy today!! #wsb $Pltr $AMC $TSLA $GME @Sadhguru you ready????,Bullish,Bullish,0.798
"$NOK THE FUNNY THING IS THE ONLY PPL SELLING AFTER HOURS ARE HEDGE FUNDS TRYING TO MAKE IT LOOK LIKE WE ARE SELLING.

IM LAUGHING MY FUCKIN ASS OFF THE HEDGE FUNDS ARE PROBABLY LIKE YO LETS SELL 3k shares AND SCARE EM AND IM LAUGHING HOLDING TIL $20+ OR $30+ PREMARKET. HEDGE FUNDS LITERALLY TRADING WITH EACH OTHER LMAO.

ALL IN $50+

$TSLA $AMC $BB $GME $80 PRICE TARGET LONG TERM LONG LIVE 5G TECHNOLOGY MOST CONTRACTS SECUREd IN THE GAME",Bullish,Bullish,0.96
$TSLA this is a cult stock. No one gives a shit about earnings,Bullish,Bearish,-0.7003
$GME this is a great statement from @ChamathPalihapitiya . He was rigjt about $TSLA . This is just one more push,Bullish,Bullish,0.6249
$TSLA prepare for analyst downgrades!!!!!,Bearish,Bullish,0.0
$TSLA Should go down to 500,Bearish,Bullish,0.0
$SPY $AAPL $GME $AMC $TSLA think thereâ€™s about 10 canaries in the coal mine that are dead,Bearish,Bearish,-0.6486
$TSLA no growth? Let me guess they are saying lower EPS next earnings as well because they cheated on number of shares,Bearish,Bearish,-0.4738
$TSLA this stock could hit 500$ and i wouldnâ€™t touch it! I bought options at 300$ and thought this was way over extended but.... once these rookie traders w/ lack of fundamentals have the floor collapse under them they will understand valuation and hype... and unfortunately at the cost of their own ignorance,Bearish,Bearish,-0.9312
$TSLA  wait they only made net profit of 240 million . Thatâ€™s pathetic gm makes billions per quarter .,Bearish,Bearish,-0.2023
,,Bullish,0.0
