id,body,created_at,entities,likes
278867927,$TSLA $GME $AMC $BB $BBBY we are back,1/28/2021,Bullish,9
278860125,"$GNUS $GME $KOSS $AMC $TSLA 
Letâ€™s shows these fuckers weâ€™ll win the battle and not get intimidated by a 20% loss when weâ€™ve been making 100-1000% gains all month!! ðŸš€ðŸ™ðŸ»ðŸ”¥ (Lol this is some stocks Game of thrones type of month)",1/28/2021,Bullish,11
278857960,$AMC anyone who is selling right now is a fckin idiot. I hope you realize that tomorrow when you get fcked. Your gonna regret it. I&#39;m loading up and takin your shares. Good luck to all the bulls. We&#39;re gonna make this pop tomorrow and Friday! $TSLA $SPY $AMZN $MSFT,1/28/2021,Bullish,8
278855381,$SNDL share Sabby i believe is trying to ruin us. $TSLA $GME $AMC $NAKD STOP SELLING SNDL SHARES TO THIS DUDE. SHARE,1/28/2021,Bullish,11
278851241,$TSLA I just listened to the entire earnings call. Once media dissects the information I believe we will see the stock pop right back up and continue fulls team ahead.  just the beginning for Tesla.,1/28/2021,Bullish,10
278917282,"$TSLA I could always be wrong, but I have strange feeling Tesla is going to drop like a lead balloon!",1/28/2021,Bearish,5
278903144,$SPY If $AAPL and $TSLA are down tomorrow good luck going higher,1/28/2021,Bearish,5
278891721,Time to short $TSLA ,1/28/2021,Bearish,4
278879320,$TSLA  @bulls please tell me why the prices can go up in Q2? Q4 record deliveries but lost profit + remaining profit is also from Credit sale. Only bullish news I can think of is another stimulus. Please tell me if you think I m wrong,1/28/2021,Bearish,5
279170518,$TSLA I think WSB exposed how fake the valuation of this could really be.,1/28/2021,Bearish,5
,,,,
278827856,$AAPL $TSLA $SPY $QQQ $AMC  NEED A GREAT LEADER!!! #2024ðŸ¾ðŸ¥‚ðŸš€ðŸš€ðŸš€ðŸ’°ðŸ’°,1/27/2021,Bullish,8
278822754,"$ABML expect interesting news over the next week... $TSLA exec on the board and engineer 
Looking forward and beyond personally.",1/27/2021,Bullish,10
278821363,$UWMC we ready!! Loaded heavy today!! #wsb $Pltr $AMC $TSLA $GME @Sadhguru you ready????,1/27/2021,Bullish,17
278815675,"$NOK THE FUNNY THING IS THE ONLY PPL SELLING AFTER HOURS ARE HEDGE FUNDS TRYING TO MAKE IT LOOK LIKE WE ARE SELLING.

IM LAUGHING MY FUCKIN ASS OFF THE HEDGE FUNDS ARE PROBABLY LIKE YO LETS SELL 3k shares AND SCARE EM AND IM LAUGHING HOLDING TIL $20+ OR $30+ PREMARKET. HEDGE FUNDS LITERALLY TRADING WITH EACH OTHER LMAO.

ALL IN $50+

$TSLA $AMC $BB $GME $80 PRICE TARGET LONG TERM LONG LIVE 5G TECHNOLOGY MOST CONTRACTS SECUREd IN THE GAME",1/27/2021,Bullish,30
278811871,$TSLA this is a cult stock. No one gives a shit about earnings,1/27/2021,Bullish,9
278808036,$GME this is a great statement from @ChamathPalihapitiya . He was rigjt about $TSLA . This is just one more push,1/27/2021,Bullish,12
278801758,$TSLA prepare for analyst downgrades!!!!!,1/27/2021,Bearish,16
278800470,$TSLA Should go down to 500,1/27/2021,Bearish,7
278797648,$SPY $AAPL $GME $AMC $TSLA think thereâ€™s about 10 canaries in the coal mine that are dead,1/27/2021,Bearish,7
278775713,$TSLA no growth? Let me guess they are saying lower EPS next earnings as well because they cheated on number of shares,1/27/2021,Bearish,3
